[2024-07-29 00:58:35,679] ERROR - 无法调用电脑摄像头1 - core.py:163
[2024-07-29 01:08:04,446] DEBUG - face_id：1，confidence：61.298762758863475 - core.py:611
[2024-07-29 01:08:04,823] DEBUG - face_id：1，confidence：59.5388784984259 - core.py:611
[2024-07-29 01:08:05,168] DEBUG - face_id：1，confidence：58.73490985015755 - core.py:611
[2024-07-29 01:08:05,483] DEBUG - face_id：1，confidence：59.202620903408935 - core.py:611
[2024-07-29 01:08:05,753] DEBUG - face_id：1，confidence：61.620837017946236 - core.py:611
[2024-07-29 01:08:06,040] DEBUG - face_id：1，confidence：61.19836908774237 - core.py:611
[2024-07-29 01:08:06,134] DEBUG - face_id：1，confidence：60.1385719520579 - core.py:611
[2024-07-29 01:08:06,232] DEBUG - face_id：1，confidence：57.58847893426979 - core.py:611
[2024-07-29 01:08:06,437] DEBUG - face_id：1，confidence：57.67221153337353 - core.py:611
[2024-07-29 01:08:06,554] DEBUG - face_id：1，confidence：57.88460149880934 - core.py:611
[2024-07-29 01:08:06,700] DEBUG - face_id：1，confidence：56.54668930802651 - core.py:611
[2024-07-29 01:08:06,847] DEBUG - face_id：1，confidence：56.92654000777882 - core.py:611
[2024-07-29 01:08:06,945] DEBUG - face_id：1，confidence：58.59383668387416 - core.py:611
[2024-07-29 01:08:07,071] DEBUG - face_id：1，confidence：60.78058984185674 - core.py:611
[2024-07-29 01:08:07,165] DEBUG - face_id：1，confidence：59.01561621187758 - core.py:611
[2024-07-29 01:08:07,308] DEBUG - face_id：1，confidence：58.043235686478056 - core.py:611
[2024-07-29 01:08:07,483] DEBUG - face_id：1，confidence：61.907568428389524 - core.py:611
[2024-07-29 01:08:07,661] DEBUG - face_id：1，confidence：58.22927617512706 - core.py:611
[2024-07-29 01:08:07,813] DEBUG - face_id：1，confidence：60.33196037821108 - core.py:611
[2024-07-29 01:08:07,918] DEBUG - face_id：1，confidence：67.29350556330333 - core.py:611
[2024-07-29 01:08:08,089] DEBUG - face_id：1，confidence：54.56309214369635 - core.py:611
[2024-07-29 01:08:08,209] DEBUG - face_id：1，confidence：54.606220951935974 - core.py:611
[2024-07-29 01:08:08,334] DEBUG - face_id：1，confidence：51.678452042739224 - core.py:611
[2024-07-29 01:08:08,455] DEBUG - face_id：1，confidence：51.82381940917068 - core.py:611
[2024-07-29 01:08:08,540] DEBUG - face_id：1，confidence：50.724924073693714 - core.py:611
[2024-07-29 01:08:08,655] DEBUG - face_id：1，confidence：49.809341048055686 - core.py:611
[2024-07-29 01:08:08,799] DEBUG - face_id：1，confidence：51.6024089603013 - core.py:611
[2024-07-29 01:08:08,897] DEBUG - face_id：1，confidence：50.91984804104893 - core.py:611
[2024-07-29 01:08:09,013] DEBUG - face_id：1，confidence：50.19563116764283 - core.py:611
[2024-07-29 01:08:09,103] DEBUG - face_id：1，confidence：51.93199862357806 - core.py:611
[2024-07-29 01:08:09,243] DEBUG - face_id：1，confidence：49.19005275653114 - core.py:611
[2024-07-29 01:08:09,340] DEBUG - face_id：1，confidence：49.32155318666528 - core.py:611
[2024-07-29 01:08:09,509] DEBUG - face_id：1，confidence：50.44700281273087 - core.py:611
[2024-07-29 01:08:09,639] DEBUG - face_id：1，confidence：49.89846371528269 - core.py:611
[2024-07-29 01:08:09,743] DEBUG - face_id：1，confidence：51.631324801225674 - core.py:611
[2024-07-29 01:08:09,838] DEBUG - face_id：1，confidence：54.38703897896151 - core.py:611
[2024-07-29 01:08:10,022] DEBUG - face_id：1，confidence：53.91223604296666 - core.py:611
[2024-07-29 01:08:10,117] DEBUG - face_id：1，confidence：55.411547448980016 - core.py:611
[2024-07-29 01:08:10,220] DEBUG - face_id：1，confidence：52.71938746357159 - core.py:611
[2024-07-29 01:08:10,352] DEBUG - face_id：1，confidence：54.16318967641107 - core.py:611
[2024-07-29 01:08:10,465] DEBUG - face_id：1，confidence：55.69442740582184 - core.py:611
[2024-07-29 01:08:10,618] DEBUG - face_id：1，confidence：54.468857932403616 - core.py:611
[2024-07-29 01:10:09,431] DEBUG - face_id：1，confidence：58.22397171948697 - core.py:611
[2024-07-29 01:10:09,551] DEBUG - face_id：1，confidence：59.53149997049519 - core.py:611
[2024-07-29 01:10:09,704] DEBUG - face_id：1，confidence：59.31174815177765 - core.py:611
[2024-07-29 01:10:09,820] DEBUG - face_id：1，confidence：59.498533406381135 - core.py:611
[2024-07-29 01:10:10,051] DEBUG - face_id：1，confidence：57.27786889930961 - core.py:611
[2024-07-29 01:10:10,196] DEBUG - face_id：1，confidence：56.94972752462031 - core.py:611
[2024-07-29 01:10:10,287] DEBUG - face_id：1，confidence：56.35332215046717 - core.py:611
[2024-07-29 01:10:10,402] DEBUG - face_id：1，confidence：56.81513913273889 - core.py:611
[2024-07-29 01:10:10,900] DEBUG - face_id：1，confidence：53.745821706615054 - core.py:611
[2024-07-29 01:10:11,014] DEBUG - face_id：1，confidence：56.26317994974118 - core.py:611
[2024-07-29 01:10:11,129] DEBUG - face_id：1，confidence：54.81823444098171 - core.py:611
[2024-07-29 01:10:11,245] DEBUG - face_id：1，confidence：52.64023458425602 - core.py:611
[2024-07-29 01:10:11,406] DEBUG - face_id：1，confidence：55.99034171066353 - core.py:611
[2024-07-29 01:10:11,573] DEBUG - face_id：1，confidence：49.93721528401408 - core.py:611
[2024-07-29 01:10:11,670] DEBUG - face_id：1，confidence：48.39967883242812 - core.py:611
[2024-07-29 01:10:13,619] DEBUG - face_id：1，confidence：50.60100380592833 - core.py:611
[2024-07-29 01:10:13,778] DEBUG - face_id：1，confidence：50.26561535387277 - core.py:611
[2024-07-29 01:10:13,901] DEBUG - face_id：1，confidence：52.33303864342859 - core.py:611
[2024-07-29 01:10:14,038] DEBUG - face_id：1，confidence：49.855321881142785 - core.py:611
[2024-07-29 01:10:14,188] DEBUG - face_id：1，confidence：51.75950746495666 - core.py:611
[2024-07-29 01:10:14,318] DEBUG - face_id：1，confidence：51.79152603108074 - core.py:611
[2024-07-29 01:10:14,434] DEBUG - face_id：1，confidence：53.91862440064493 - core.py:611
[2024-07-29 01:10:14,588] DEBUG - face_id：1，confidence：52.75238539584611 - core.py:611
[2024-07-29 01:10:14,716] DEBUG - face_id：1，confidence：53.41427931391501 - core.py:611
[2024-07-29 01:10:14,830] DEBUG - face_id：1，confidence：52.718716216346394 - core.py:611
[2024-07-29 01:10:14,979] DEBUG - face_id：1，confidence：53.858270253707865 - core.py:611
[2024-07-29 01:10:15,165] DEBUG - face_id：1，confidence：54.562670642444964 - core.py:611
[2024-07-29 01:10:15,269] DEBUG - face_id：1，confidence：53.37609960895205 - core.py:611
[2024-07-29 01:10:15,396] DEBUG - face_id：1，confidence：52.733116540555514 - core.py:611
[2024-07-29 01:10:15,489] DEBUG - face_id：1，confidence：52.423423954592884 - core.py:611
[2024-07-29 01:10:15,598] DEBUG - face_id：1，confidence：52.85473471612683 - core.py:611
[2024-07-29 01:10:15,786] DEBUG - face_id：1，confidence：53.40729846852044 - core.py:611
[2024-07-29 01:10:15,933] DEBUG - face_id：1，confidence：54.048216174649355 - core.py:611
[2024-07-29 01:10:16,082] DEBUG - face_id：1，confidence：51.99383187300892 - core.py:611
[2024-07-29 01:10:16,225] DEBUG - face_id：1，confidence：51.34007197379417 - core.py:611
[2024-07-29 01:10:16,384] DEBUG - face_id：1，confidence：52.02204319842863 - core.py:611
[2024-07-29 01:10:16,544] DEBUG - face_id：1，confidence：52.74484127208754 - core.py:611
[2024-07-29 01:10:16,706] DEBUG - face_id：1，confidence：51.41057127317261 - core.py:611
[2024-07-29 01:10:16,831] DEBUG - face_id：1，confidence：50.93214003505562 - core.py:611
[2024-07-29 01:10:16,941] DEBUG - face_id：1，confidence：54.435934011520665 - core.py:611
[2024-07-29 01:10:17,059] DEBUG - face_id：1，confidence：50.66794435542951 - core.py:611
[2024-07-29 01:10:17,161] DEBUG - face_id：1，confidence：51.983211337536744 - core.py:611
[2024-07-29 01:10:17,293] DEBUG - face_id：1，confidence：53.38664270441495 - core.py:611
[2024-07-29 01:10:17,405] DEBUG - face_id：1，confidence：51.54410025690026 - core.py:611
[2024-07-29 01:10:17,557] DEBUG - face_id：1，confidence：54.549700348682485 - core.py:611
[2024-07-29 01:10:17,682] DEBUG - face_id：1，confidence：51.00040887455408 - core.py:611
[2024-07-29 01:10:17,821] DEBUG - face_id：1，confidence：52.44854162531952 - core.py:611
[2024-07-29 01:10:17,966] DEBUG - face_id：1，confidence：52.836599237074836 - core.py:611
[2024-07-29 01:10:18,094] DEBUG - face_id：1，confidence：49.713112677212465 - core.py:611
[2024-07-29 01:10:18,200] DEBUG - face_id：1，confidence：51.544137945977006 - core.py:611
[2024-07-29 01:10:18,300] DEBUG - face_id：1，confidence：53.05258192967619 - core.py:611
[2024-07-29 01:10:18,414] DEBUG - face_id：1，confidence：50.733024626374245 - core.py:611
[2024-07-29 01:10:18,568] DEBUG - face_id：1，confidence：52.51085083236935 - core.py:611
[2024-07-29 01:10:18,764] DEBUG - face_id：1，confidence：50.072766174779325 - core.py:611
[2024-07-29 01:10:18,885] DEBUG - face_id：1，confidence：52.25507074406363 - core.py:611
[2024-07-29 01:10:18,985] DEBUG - face_id：1，confidence：53.057647440181604 - core.py:611
[2024-07-29 01:10:19,130] DEBUG - face_id：1，confidence：51.56314897660014 - core.py:611
[2024-07-29 01:10:19,250] DEBUG - face_id：1，confidence：52.48565156087912 - core.py:611
[2024-07-29 01:10:19,390] DEBUG - face_id：1，confidence：51.416932730940346 - core.py:611
[2024-07-29 01:10:19,512] DEBUG - face_id：1，confidence：49.992317624997966 - core.py:611
